,name,basetime,fctime,diag,obs,mb000
TTE-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,tte,0.0,106.21758453797335
MSLP_MIN_P-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,mslp_min_p,96838.53933714287,260.8317743337393
FF10M_MAX_S4-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,ff10m_max_s4,20.640998082771954,-2.623365759761562
FF925_MAX_S4-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,ff925_max_s4,26.405038613006727,-4.5379325048803985
FF300_MAX_S4-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,ff300_max_s4,18.733050440568224,-0.9708877101440905
Z500_P-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,z500_p,48905.155762568844,-516.5664784780893
TTE-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,tte,0.0,101.66085811238776
MSLP_MIN_P-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,mslp_min_p,97020.6343201393,137.57841426947562
FF10M_MAX_S4-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,ff10m_max_s4,18.51718839041359,-1.2632986725771147
FF925_MAX_S4-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,ff925_max_s4,23.374767370400686,-2.1164648721462243
FF300_MAX_S4-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,ff300_max_s4,20.460646587979898,2.5881877043035324
Z500_P-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,z500_p,49090.79485833026,-406.02999222199287
TTE-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,tte,0.0,46.657625693321386
MSLP_MIN_P-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,mslp_min_p,97710.32313651899,59.18490855679556
FF10M_MAX_S4-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,ff10m_max_s4,19.539980323558847,-0.18799764353717663
FF925_MAX_S4-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,ff925_max_s4,25.922325507827495,-1.4989651510556996
FF300_MAX_S4-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,ff300_max_s4,13.810558371136027,2.2835214788985194
Z500_P-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,z500_p,49002.79213558473,-288.455529826424
TTE-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,tte,0.0,46.825107030336895
MSLP_MIN_P-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,mslp_min_p,97496.96279565494,82.38353917410132
FF10M_MAX_S4-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,ff10m_max_s4,19.33089691884171,-0.07367632812390212
FF925_MAX_S4-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,ff925_max_s4,25.245270668205553,-1.047350259788697
FF300_MAX_S4-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,ff300_max_s4,19.435608316971614,-2.1149722672483335
Z500_P-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,z500_p,48853.83423230129,-343.10179541314574
TTE-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,tte,0.0,68.60923812850785
MSLP_MIN_P-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,mslp_min_p,97281.77536255152,62.8281265397236
FF10M_MAX_S4-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,ff10m_max_s4,20.60706642275517,-0.5878296683696966
FF925_MAX_S4-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,ff925_max_s4,26.216440392721946,-1.699349509842591
FF300_MAX_S4-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,ff300_max_s4,20.726269617354866,2.5985730944552685
Z500_P-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,z500_p,48655.83294741656,-350.9020001036042
TTE-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,tte,0.0,118.40870635830119
MSLP_MIN_P-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,mslp_min_p,97019.20576862663,-14.085768626609934
FF10M_MAX_S4-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,ff10m_max_s4,19.76356057010763,-4.111905968833888
FF925_MAX_S4-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,ff925_max_s4,24.35171537010191,-5.648365492230347
FF300_MAX_S4-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,ff300_max_s4,19.60662985696555,8.086747299295045
Z500_P-VDG-2021121000-1-2021121300-018,VDG-2021121000-1,2021121300,18,z500_p,48516.676092018904,-276.4019700061981
TTE-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,tte,0.0,213.91636178378647
MSLP_MIN_P-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,mslp_min_p,96859.6035124035,-6.0116990750830155
FF10M_MAX_S4-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,ff10m_max_s4,20.329295673969906,-4.369693576340293
FF925_MAX_S4-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,ff925_max_s4,25.46211727055368,-6.085280881759452
FF300_MAX_S4-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,ff300_max_s4,17.401193760291427,0.9124272921657415
Z500_P-VDG-2021121000-1-2021121300-024,VDG-2021121000-1,2021121300,24,z500_p,48724.5539523238,-537.5980742716492
TTE-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,tte,0.0,295.5278429681051
MSLP_MIN_P-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,mslp_min_p,96838.53933714287,132.3542000753514
FF10M_MAX_S4-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,ff10m_max_s4,20.640998082771954,-5.725097109721231
FF925_MAX_S4-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,ff925_max_s4,26.405038613006727,-7.865913998765514
FF300_MAX_S4-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,ff300_max_s4,18.733050440568224,-2.1943305918219664
Z500_P-VDG-2021121000-1-2021121300-030,VDG-2021121000-1,2021121300,30,z500_p,48905.155762568844,-582.9515374452603
TTE-VDG-2021121000-1-2021121300-036,VDG-2021121000-1,2021121300,36,tte,0.0,436.87236887533777
MSLP_MIN_P-VDG-2021121000-1-2021121300-036,VDG-2021121000-1,2021121300,36,mslp_min_p,97020.6343201393,18.442252054519486
FF10M_MAX_S4-VDG-2021121000-1-2021121300-036,VDG-2021121000-1,2021121300,36,ff10m_max_s4,18.51718839041359,-0.8659342343529097
FF925_MAX_S4-VDG-2021121000-1-2021121300-036,VDG-2021121000-1,2021121300,36,ff925_max_s4,23.374767370400686,-2.7257091439216623
FF300_MAX_S4-VDG-2021121000-1-2021121300-036,VDG-2021121000-1,2021121300,36,ff300_max_s4,20.460646587979898,0.3228487888792806
Z500_P-VDG-2021121000-1-2021121300-036,VDG-2021121000-1,2021121300,36,z500_p,49090.79485833026,-554.4909662298232
TTE-VDG-2021121000-1-2021121300-042,VDG-2021121000-1,2021121300,42,tte,0.0,570.7512130201419
MSLP_MIN_P-VDG-2021121000-1-2021121300-042,VDG-2021121000-1,2021121300,42,mslp_min_p,97118.37829666608,-137.94078889573575
FF10M_MAX_S4-VDG-2021121000-1-2021121300-042,VDG-2021121000-1,2021121300,42,ff10m_max_s4,17.08903661321997,-1.3053413902621642
