,name,basetime,fctime,diag,obs,mb000
FF300_MAX_S4-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,ff300_max_s4,19.435608316971614,3.148606438908356
Z500_P-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,z500_p,48853.83423230129,-366.3818533632657
TTE-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,tte,0.0,109.01180749067323
MSLP_MIN_P-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,mslp_min_p,97281.77536255152,-66.0732075113483
FF10M_MAX_S4-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,ff10m_max_s4,20.60706642275517,-0.10279536145275969
FF925_MAX_S4-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,ff925_max_s4,26.216440392721946,-1.1446850201846956
FF300_MAX_S4-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,ff300_max_s4,20.726269617354866,6.011264302717869
Z500_P-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,z500_p,48655.83294741656,-272.71813558352005
TTE-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,tte,0.0,118.31718121677122
MSLP_MIN_P-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,mslp_min_p,97019.20576862663,7.357670028795837
FF10M_MAX_S4-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,ff10m_max_s4,19.76356057010763,-1.8933300431719395
FF925_MAX_S4-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,ff925_max_s4,24.35171537010191,-3.0061394281277067
FF300_MAX_S4-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,ff300_max_s4,19.60662985696555,5.029608756880496
Z500_P-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,z500_p,48516.676092018904,-241.7700769648509
TTE-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,tte,0.0,50.86681615573773
